BioSample	collection_year
SAMEA2071252	2001
SAMEA2071282	2002
SAMEA2071283	2002
SAMEA2071285	2003
SAMEA2071290	2003
SAMEA2071292	2003
SAMEA2071294	2003
SAMEA2071295	2004
SAMEA2071297	2004
SAMEA2071299	2004
SAMEA2071300	2004
SAMEA2071301	2004
SAMEA2071355	2004
SAMEA2071362	2005
SAMEA2071363	2005
SAMEA2071364	2006
SAMEA2071369	2006
SAMEA2071372	2006
SAMEA2071437	2007
SAMEA2071440	2007
SAMEA2071445	2008
SAMEA2071447	2008
SAMEA2071449	2008
SAMEA2071450	2008
SAMEA2071451	2009
SAMEA2071452	2009
SAMEA2071453	2009
SAMEA2071455	2009
SAMEA2071456	2009
SAMEA2071457	2009
SAMEA2071458	2008
SAMEA2071459	2009
SAMEA2071460	2010
SAMEA2071461	2010
SAMEA2071538	2010
SAMEA2071539	2010
SAMEA2071540	2010
SAMEA2071541	2010
SAMEA2071542	2010
SAMEA2071544	2010
SAMEA2071545	2011
SAMEA2071546	2011
SAMEA2071547	2011
SAMEA2071548	2011
SAMEA2071549	2011
SAMEA2071550	2011
SAMEA2071551	2011
SAMEA2071552	2011
SAMEA2071554	2011
SAMEA2071557	2011
SAMEA2071559	2011
SAMEA2071618	2011
SAMEA2071621	2012
SAMEA2071624	2012
SAMEA2071625	2012
SAMEA2071626	2012
SAMEA2147654	2013
SAMEA2150922	2011
SAMEA2154288	2012
SAMEA2160962	2013
SAMEA2259546	2003
SAMEA2259547	2004
SAMEA2259548	2003
SAMEA2259549	2010
SAMEA2259550	2008
SAMEA2259551	2012
SAMEA2259552	2012
SAMEA2259561	2011
SAMEA2259562	2001
SAMEA2259563	2011
SAMEA2259564	2011
SAMEA2259565	2004
SAMEA2259566	2004
SAMEA2259567	2005
SAMEA2259568	2005
SAMEA2259569	2007
SAMEA2259570	2010
SAMEA2259571	2010
SAMEA2259572	2011
SAMEA2259573	2012
SAMEA2259574	2000
SAMEA2259575	2002
SAMEA2259576	2002
SAMEA2259577	2004
SAMEA2259578	2006
SAMEA2259579	2002
SAMEA2259580	2009
SAMEA2259581	2005
SAMEA2259582	2006
SAMEA2259583	2009
SAMEA2259584	2010
SAMEA2259585	2010
SAMEA2259586	2010
SAMEA2259587	2011
SAMEA2259588	2012
SAMEA2259598	2003
SAMEA2259606	2002
SAMEA2259607	2003
SAMEA2259608	2009
SAMEA2259609	2011
SAMEA2259610	2011
SAMEA2259611	2012
SAMEA2259612	2011
SAMEA2259613	2011
SAMEA2259614	2012
SAMEA2259615	2012
SAMEA2259616	2012
SAMEA2259619	2010
SAMEA2259620	2011
SAMEA2259621	2007
SAMEA2259622	2007
SAMEA2259623	2008
SAMEA2259624	2011
SAMEA2259625	2012
