Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR490691_1	ERR490691_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1756708.0	0.0	15-100	63.0	95.60679530927474	95.70524298859002	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490691_2	ERR490691_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1756708.0	0.0	15-100	63.0	95.51871144415409	94.79313352019801	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490692_1	ERR490692_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1917653.0	0.0	15-100	64.0	95.38143156236607	95.53293739795468	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490692_2	ERR490692_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1917653.0	0.0	15-100	64.0	95.34230675614846	94.81396373587923	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490693_1	ERR490693_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1790926.0	0.0	15-100	60.0	96.31307479663704	96.15924276044906	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass		
ERR490693_2	ERR490693_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1790926.0	0.0	15-100	60.0	96.33308720693296	95.39899135977701	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass		
ERR490694_1	ERR490694_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1537186.0	0.0	15-100	63.0	96.0792894235658	95.64043648589045	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490694_2	ERR490694_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1537186.0	0.0	15-100	63.0	96.15461884736445	94.60035155147132	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490695_1	ERR490695_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1893798.0	0.0	15-100	64.0	94.92715121795948	95.68079911373863	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490695_2	ERR490695_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1893798.0	0.0	15-100	64.0	95.10962769943862	94.71557895826271	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490696_1	ERR490696_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1549870.0	0.0	15-100	62.0	95.90463969382733	95.74064276358662	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass		
ERR490696_2	ERR490696_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1549870.0	0.0	15-100	62.0	96.14030814036758	94.16993554298102	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR490697_1	ERR490697_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1663586.0	0.0	15-100	63.0	95.6874853997094	95.71444578158268	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass		
ERR490697_2	ERR490697_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1663586.0	0.0	15-100	63.0	95.75816219975405	94.61174835566061	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass		
ERR490698_1	ERR490698_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1779713.0	0.0	15-100	63.0	95.64096001378276	95.59697996249957	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490698_2	ERR490698_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1779713.0	0.0	15-100	63.0	95.71555416469562	94.36146839406129	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
